City,Criteria,ID,State,DMA
Anchorage,1012873,Alaska,"Anchorage, AK",743
Anderson,1012874,Alaska,"Fairbanks, AK",745
Angoon,1012875,Alaska,"Juneau, AK",747
Atqasuk,1012876,Alaska,"Fairbanks, AK",745
Barrow,1012877,Alaska,"Fairbanks, AK",745
Bethel,1012878,Alaska,"Anchorage, AK",743
Clear,1012879,Alaska,"Fairbanks, AK",745
Cordova,1012880,Alaska,"Anchorage, AK",743
Craig,1012881,Alaska,"Juneau, AK",747
Dillingham,1012883,Alaska,"Anchorage, AK",743
Fairbanks,1012887,Alaska,"Fairbanks, AK",745
Galena,1012888,Alaska,"Fairbanks, AK",745
Glennallen,1012890,Alaska,"Anchorage, AK",743
Gustavus,1012891,Alaska,"Juneau, AK",747
Haines,1012892,Alaska,"Juneau, AK",747
Healy,1012893,Alaska,"Fairbanks, AK",745
Homer,1012894,Alaska,"Anchorage, AK",743
Hoonah,1012895,Alaska,"Juneau, AK",747
Juneau,1012896,Alaska,"Juneau, AK",747
Kenai,1012897,Alaska,"Anchorage, AK",743
Ketchikan,1012898,Alaska,"Juneau, AK",747
Klawock,1012899,Alaska,"Juneau, AK",747
Kodiak,1012900,Alaska,"Anchorage, AK",743
Kotzebue,1012901,Alaska,"Fairbanks, AK",745
McGrath,1012902,Alaska,"Fairbanks, AK",745
Metlakatla,1012903,Alaska,"Juneau, AK",747
Nikiski,1012905,Alaska,"Anchorage, AK",743
Nome,1012906,Alaska,"Fairbanks, AK",745
Palmer,1012908,Alaska,"Anchorage, AK",743
Pelican,1012909,Alaska,"Juneau, AK",747
Petersburg,1012910,Alaska,"Juneau, AK",747
Seward,1012912,Alaska,"Anchorage, AK",743
Sitka,1012913,Alaska,"Juneau, AK",747
Skagway,1012914,Alaska,"Juneau, AK",747
Soldotna,1012915,Alaska,"Anchorage, AK",743
Tanacross,1012917,Alaska,"Fairbanks, AK",745
Tok,1012919,Alaska,"Fairbanks, AK",745
Tununak,1012920,Alaska,"Anchorage, AK",743
Unalaska,1012921,Alaska,"Anchorage, AK",743
Valdez,1012922,Alaska,"Anchorage, AK",743
Wasilla,1012923,Alaska,"Anchorage, AK",743
Whittier,1012924,Alaska,"Anchorage, AK",743
Wrangell,1012925,Alaska,"Juneau, AK",747
Yakutat,1012926,Alaska,"Juneau, AK",747
College,9051751,Alaska,"Fairbanks, AK",745
Knik-Fairview,9052248,Alaska,"Anchorage, AK",743
Kongiganak,9052249,Alaska,"Anchorage, AK",743
Abbeville,1012927,Alabama,"Dothan, AL",606
Adamsville,1012928,Alabama,"Birmingham, AL",630
Addison,1012929,Alabama,"Birmingham, AL",630
Adger,1012930,Alabama,"Birmingham, AL",630
Alabaster,1012931,Alabama,"Birmingham, AL",630
Albertville,1012932,Alabama,"Huntsville-Decatur (Florence), AL",691
Alexandria,1012934,Alabama,"Birmingham, AL",630
Allgood,1012935,Alabama,"Birmingham, AL",630
Alpine,1012936,Alabama,"Birmingham, AL",630
Andalusia,1012937,Alabama,"Montgomery (Selma), AL",698
Anniston,1012938,Alabama,"Birmingham, AL",630
Arab,1012939,Alabama,"Huntsville-Decatur (Florence), AL",691
Arlington,1012940,Alabama,"Montgomery (Selma), AL",698
Ashford,1012941,Alabama,"Dothan, AL",606
Ashland,1012942,Alabama,"Birmingham, AL",630
Ashville,1012943,Alabama,"Birmingham, AL",630
Athens,1012944,Alabama,"Huntsville-Decatur (Florence), AL",691
Atmore,1012945,Alabama,"Mobile, AL-Pensacola (Ft. Walton Beach), FL",686
Attalla,1012946,Alabama,"Birmingham, AL",630
Auburn,1012947,Alabama,"Columbus, GA",522
Autaugaville,1012949,Alabama,"Montgomery (Selma), AL",698
Axis,1012950,Alabama,"Mobile, AL-Pensacola (Ft. Walton Beach), FL",686
Berry,1012952,Alabama,"Birmingham, AL",630
Bessemer,1012953,Alabama,"Birmingham, AL",630
Birmingham,1012954,Alabama,"Birmingham, AL",630
Blountsville,1012955,Alabama,"Birmingham, AL",630
Boaz,1012956,Alabama,"Huntsville-Decatur (Florence), AL",691
Bremen,1012957,Alabama,"Birmingham, AL",630
Brewton,1012958,Alabama,"Mobile, AL-Pensacola (Ft. Walton Beach), FL",686
Brookwood,1012959,Alabama,"Birmingham, AL",630
Brownsboro,1012960,Alabama,"Huntsville-Decatur (Florence), AL",691
Bucks,1012961,Alabama,"Mobile, AL-Pensacola (Ft. Walton Beach), FL",686
Buhl,1012962,Alabama,"Birmingham, AL",630
Butler,1012963,Alabama,"Meridian, MS",711
Calera,1012964,Alabama,"Birmingham, AL",630
Camden,1012966,Alabama,"Montgomery (Selma), AL",698
Carrollton,1012967,Alabama,"Birmingham, AL",630
Centre,1012968,Alabama,"Birmingham, AL",630
Centreville,1012969,Alabama,"Birmingham, AL",630
Chapman,1012970,Alabama,"Montgomery (Selma), AL",698
Chelsea,1012971,Alabama,"Birmingham, AL",630
Cherokee,1012972,Alabama,"Huntsville-Decatur (Florence), AL",691
Childersburg,1012973,Alabama,"Birmingham, AL",630
Clanton,1012974,Alabama,"Birmingham, AL",630
Clayton,1012975,Alabama,"Columbus, GA",522
Clio,1012976,Alabama,"Columbus, GA",522
Coffeeville,1012977,Alabama,"Mobile, AL-Pensacola (Ft. Walton Beach), FL",686
Columbia,1012978,Alabama,"Dothan, AL",606
Columbiana,1012979,Alabama,"Birmingham, AL",630
Cottondale,1012980,Alabama,"Birmingham, AL",630
Cottonwood,1012981,Alabama,"Dothan, AL",606
Cowarts,1012982,Alabama,"Dothan, AL",606
Creola,1012983,Alabama,"Mobile, AL-Pensacola (Ft. Walton Beach), FL",686
Crossville,1012984,Alabama,"Huntsville-Decatur (Florence), AL",691
Cullman,1012985,Alabama,"Birmingham, AL",630
Daleville,1012986,Alabama,"Dothan, AL",606
Daphne,1012987,Alabama,"Mobile, AL-Pensacola (Ft. Walton Beach), FL",686
Deatsville,1012989,Alabama,"Montgomery (Selma), AL",698
Decatur,1012990,Alabama,"Huntsville-Decatur (Florence), AL",691
Demopolis,1012991,Alabama,"Montgomery (Selma), AL",698
Dothan,1012993,Alabama,"Dothan, AL",606
Eastaboga,1012994,Alabama,"Birmingham, AL",630
Eclectic,1012995,Alabama,"Montgomery (Selma), AL",698
Elba,1012997,Alabama,"Dothan, AL",606
Elberta,1012998,Alabama,"Mobile, AL-Pensacola (Ft. Walton Beach), FL",686
Enterprise,1012999,Alabama,"Dothan, AL",606
Eufaula,1013000,Alabama,"Columbus, GA",522
Eutaw,1013001,Alabama,"Birmingham, AL",630
Evergreen,1013002,Alabama,"Mobile, AL-Pensacola (Ft. Walton Beach), FL",686
Excel,1013003,Alabama,"Mobile, AL-Pensacola (Ft. Walton Beach), FL",686
Fairfield,1013004,Alabama,"Birmingham, AL",630
Fairhope,1013005,Alabama,"Mobile, AL-Pensacola (Ft. Walton Beach), FL",686
Fayette,1013006,Alabama,"Birmingham, AL",630
Florence,1013007,Alabama,"Huntsville-Decatur (Florence), AL",691
Foley,1013008,Alabama,"Mobile, AL-Pensacola (Ft. Walton Beach), FL",686
Fruitdale,1013009,Alabama,"Mobile, AL-Pensacola (Ft. Walton Beach), FL",686
Fulton,1013013,Alabama,"Mobile, AL-Pensacola (Ft. Walton Beach), FL",686
Fultondale,1013014,Alabama,"Birmingham, AL",630
Gadsden,1013015,Alabama,"Birmingham, AL",630
Gardendale,1013016,Alabama,"Birmingham, AL",630
Geneva,1013017,Alabama,"Dothan, AL",606
Glenwood,1013018,Alabama,"Montgomery (Selma), AL",698
Goodwater,1013019,Alabama,"Birmingham, AL",630
Gordo,1013020,Alabama,"Birmingham, AL",630
Graysville,1013022,Alabama,"Birmingham, AL",630
Greensboro,1013023,Alabama,"Birmingham, AL",630
Greenville,1013024,Alabama,"Montgomery (Selma), AL",698
Guin,1013026,Alabama,"Birmingham, AL",630
Guntersville,1013028,Alabama,"Huntsville-Decatur (Florence), AL",691
Haleyville,1013029,Alabama,"Birmingham, AL",630
Hamilton,1013030,Alabama,"Birmingham, AL",630
Hanceville,1013031,Alabama,"Birmingham, AL",630
Hartselle,1013032,Alabama,"Huntsville-Decatur (Florence), AL",691
Hatchechubbee,1013033,Alabama,"Columbus, GA",522
Hayden,1013034,Alabama,"Birmingham, AL",630
Hayneville,1013035,Alabama,"Montgomery (Selma), AL",698
Headland,1013037,Alabama,"Dothan, AL",606
Heflin,1013038,Alabama,"Atlanta, GA",524
Helena,1013039,Alabama,"Birmingham, AL",630
